X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8872597.6736,4389142.6341,1,,RE0000111,FC,2019/12/03 11:06:55+00,SMTRIPP,2019/12/03 11:06:55+00,SMTRIPP,2019/10/25 15:05:32+00,SMTRIPP,750000000111,RE0000111,Caden Energix Axton LLC,550,Solar,NOI - Active,,,,089,Henry,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8671788.6668,4641770.8876,2,,RE0000123,PG,2019/10/28 15:25:06+00,SMTRIPP,2019/10/28 15:25:06+00,SMTRIPP,2019/10/28 15:25:06+00,SMTRIPP,750000000123,RE0000123,"Greenwood Solar I, LLC",1000,Solar,Permit - Active,,,,047,Culpeper,NRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8593973.8937,4533168.4401,3,,RE0000046,PG,2019/11/01 14:29:06+00,SMTRIPP,2019/11/01 14:29:05+00,SMTRIPP,2019/11/01 14:23:32+00,SMTRIPP,750000000046,RE0000046,"Sweetspire, LLC",165,Solar,NOI - Active,,,,085,Hanover,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8564142.6078,4463108.5632,4,,RE0000073,FC,2019/12/06 14:37:17+00,SMTRIPP,2019/12/06 14:37:16+00,SMTRIPP,2019/11/01 14:36:47+00,SMTRIPP,,,,,,,,,,,,,,,
-8529312.5203,4477203.8881,5,,RE0000130,PG,2019/11/07 12:20:02+00,SMTRIPP,2019/11/07 12:20:01+00,SMTRIPP,2019/11/07 12:20:02+00,SMTRIPP,750000000130,RE0000130,"KDC Solar Kings Creek, LLC",395,Solar,Permit - Active,1801 Penniman Rd,,,095,James_City,TRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8527930.1548,4580322.8937,6,,RE0000043,PG,2019/11/08 16:48:51+00,SMTRIPP,2019/11/08 16:48:50+00,SMTRIPP,2019/11/08 16:44:49+00,SMTRIPP,750000000043,RE0000043,"Gardy's Mill Solar, LLC",199,Solar,Permit - Active,1079 Gardy's Mill Rd,,"Parcel ID: 55 112, 55 114, 55 115

38.007338°, -76.607240°",193,Westmoreland,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8516350.8127,4521486.4356,7,,RE0000128,FC,2019/12/03 09:38:19+00,SMTRIPP,2019/12/03 09:38:19+00,SMTRIPP,2019/11/18 16:41:48+00,SMTRIPP,750000000128,RE0000128,"STS J. Hodges, LLC",4,Solar,Permit - Active,823 Philpot Road,,,119,Middlesex,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
-8702978.7183,4711616.4283,8,,RE0000139,FC,2019/11/20 15:58:19+00,SMTRIPP,2019/11/20 15:58:19+00,SMTRIPP,2019/11/20 15:55:59+00,SMTRIPP,750000000139,RE0000139,Front Royal Solar Field,,Solar,NOI - Active,1101 Manassas Avenue,,,187,Warren,VRO,Producing Power,Solar NOI - Active Producing Power,
-8410711.6216,4574051.3116,9,Eastern Shore Solar LLC,RE0000001,FC,2020/10/02 10:51:29+00,SMTRIPP,2020/10/02 10:51:29+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000001,RE0000001,"Eastern Shore Solar, LLC",1000,Solar,Permit - Active,,,,001,Accomack,TRO,Producing Power,Solar Permit - Active Producing Power,
-8528146.1147,4515320.2412,10,,RE0000145,FC,2019/12/02 10:24:28+00,SMTRIPP,2019/12/02 10:24:28+00,SMTRIPP,2019/12/02 10:24:28+00,SMTRIPP,750000000145,RE0000145,Carvers Creek Solar,1734,Solar,Permit - Active,,,,073,Gloucester,PRO,Not Producing Power,Solar Permit - Active Not Producing Power,
